name,label,is_custom,sharing_model,description,field_count,record_type_count,validation_rule_count,workflow_rule_count
OrgMetricScanSummary,OrgMetricScanSummary,False,ControlledByParent,,3,0,0,0
EntitlementContact,EntitlementContact,False,ControlledByParent,,2,0,0,0
Activity,Activity,False,Private,,15,0,0,0
IncidentRelatedItem,IncidentRelatedItem,False,ControlledByParent,,5,0,0,0
ContactRequest,ContactRequest,False,ReadWrite,,6,0,0,0
OrgMetricScanResult,OrgMetricScanResult,False,ControlledByParent,,1,0,0,0
BatchJob,BatchJob,False,Private,,1,0,0,0
TableauHostMapping,TableauHostMapping,False,Read,,0,0,0,0
WorkPlanTemplate,WorkPlanTemplate,False,Private,,1,0,0,0
RecordAlertActionableTarget,RecordAlertActionableTarget,False,ControlledByParent,,1,0,0,0
Lead_Handoff__c,Lead Handoff,True,ReadWrite,"The Lead Handoff object manages the formal transition process of qualified leads from Sales Development Representatives (SDRs) to Account Executives (AEs) within the L2.6 stage of the lead-to-opportunity workflow. This object ensures systematic handoff procedures, quality control, and accountability between sales development and account management teams.",12,0,0,0
WorkPlanTemplateEntry,WorkPlanTemplateEntry,False,ControlledByParent,,2,0,0,0
CalculationProcedureVariable,CalculationProcedureVariable,False,ControlledByParent,,1,0,0,0
WorkStep,WorkStep,False,ControlledByParent,,6,0,0,0
ProfileSkillEndorsement,ProfileSkillEndorsement,False,ControlledByParent,,2,0,0,0
PricebookEntry,PricebookEntry,False,,,2,0,0,0
EngagementTopic,EngagementTopic,False,,,7,0,0,0
Opportunity,Opportunity,False,Read,,26,0,0,0
VoiceCall,VoiceCall,False,Private,,4,0,0,0
WorkPlan,WorkPlan,False,Private,,5,0,0,0
QuickText,QuickText,False,Private,,3,0,0,0
Asset,Asset,False,ControlledByParent,,17,0,0,0
FlowOrchestrationStepInstance,FlowOrchestrationStepInstance,False,Private,,2,0,0,0
ExchangeUserMapping,ExchangeUserMapping,False,Private,,0,0,0,0
User,User,False,Read,,2,0,0,0
WorkOrder,WorkOrder,False,Private,,14,0,0,0
BatchJobPart,BatchJobPart,False,ControlledByParent,,1,0,0,0
AssociatedLocation,AssociatedLocation,False,ControlledByParent,,3,0,0,0
CalculationMatrixColumn,CalculationMatrixColumn,False,ControlledByParent,,1,0,0,0
Location,Location,False,ReadWrite,,6,0,0,0
Territory2Model,Territory2Model,False,ReadWrite,,0,0,0,0
UserLocalWebServerIdentity,UserLocalWebServerIdentity,False,Private,,0,0,0,0
Scorecard,Scorecard,False,Private,,1,0,0,0
